,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
3082,3082,Kepler-326,b,Kepler-326 b,3,2.248329,0.032,,,,5105.0,,0.8,0,,1.52,0.0863,,,,,,1,0,494.3,13.693,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-326_b/
3083,3083,Kepler-326,c,Kepler-326 c,3,4.580358,0.051,,,,5105.0,,0.8,0,,1.4,0.0892,,,,,,1,0,494.3,13.693,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-326_c/
3084,3084,Kepler-326,d,Kepler-326 d,3,6.766888000000001,0.066,,,,5105.0,,0.8,0,,1.21,0.068,,,,,,1,0,494.3,13.693,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-326_d/
3085,3085,Kepler-33,b,Kepler-33 b,5,5.66793,0.0677,0.0,,,5904.0,1.29,1.82,0,,1.74,0.2033,7.87,0.556,0.3,4.27,,1,0,1252.84,13.988,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-33_b/
3086,3086,Kepler-33,f,Kepler-33 f,5,41.02902,0.2535,0.0,,,5904.0,1.29,1.82,0,,4.46,0.4113,29.5,0.556,0.3,4.27,,1,0,1252.84,13.988,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-33_f/
3087,3087,Kepler-33,c,Kepler-33 c,5,13.17562,0.1189,0.0,,,5904.0,1.29,1.82,0,,3.2,0.2792,13.8,0.556,0.3,4.27,,1,0,1252.84,13.988,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-33_c/
3088,3088,Kepler-33,d,Kepler-33 d,5,21.77596,0.1662,0.0,,,5904.0,1.29,1.82,0,,5.35,0.3338,19.3,0.556,0.3,4.27,,1,0,1252.84,13.988,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-33_d/
3089,3089,Kepler-33,e,Kepler-33 e,5,31.7844,0.2138,0.0,,,5904.0,1.29,1.82,0,,4.02,0.3708,24.9,0.556,0.3,4.27,,1,0,1252.84,13.988,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-33_e/
3090,3090,Kepler-1087,b,Kepler-1087 b,1,0.69384285,,,,,5589.0,0.96,0.94,0,,0.61,0.063483,,,,3.55,,1,0,354.0,12.953,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1087_b/
3091,3091,Kepler-1459,b,Kepler-1459 b,1,62.86916110000001,,,,,4828.0,0.78,0.74,0,,1.36,0.24075,,,,3.89,,1,0,435.0,14.591,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1459_b/
